Model,MAE Count,RMSE Count,Poisson NLL,MAE Rate,Spearman Count,Spearman Rate,Top 5% Crash Capture,Top 10% Crash Capture,Top 20% Crash Capture
GraphSAGE,0.9292877510564265,2.9582737334565907,3.562844396949392,0.0015509875517966773,0.3473591434394786,0.012247315192832241,0.29215565163681284,0.42124768375540456,0.6127239036442248
Constant Mean,1.462489300459634,3.140673980806296,0.9999728673447764,0.008142525358801384,,-0.28786453207518486,0.07319332921556516,0.11303273625694873,0.2529339098208771
Exposure Only,1.0682665964160873,4.5277523936054545,1.3013393075337187,0.001551601901911771,0.40548777878969255,,0.44657195799876465,0.5886349598517604,0.7449042618900555
